Etunimi,Lukumäärä
Rosaliina,77
Vellamo,77
Marja-Kaisa,76
Mirikli,76
Satu-Marja,76
Berta,76
Minna-Kaisa,76
Pirkko-Leena,76
Inge-Maj,76
Hanna-Reetta,76
Inez,76
Manda,75
Raina,75
Lauriina,75
Mei,75
Kaija-Riitta,75
Isabell,75
Siviä,75
Milli,74
Petriina,74
Gitte,74
Ensi,74
Ayan,74
Tiina-Kaisa,73
Gina,73
Valpuri,73
Adela,73
Ann-Katrin,73
Asma,73
Ireene,73
Sunna,73
Sumaya,73
Jill,73
Teresia,72
Gitta,72
Opri,72
Khadija,72
Annabel,71
Sirkka-Leena,71
Sini-Tuulia,71
Meja,71
Anna-Karoliina,71
Dagmar,71
Anna-Maaria,70
Celia,70
Leia,70
Fiina,70
Eea,70
Tora,70
Jenni-Mari,70
Mari-Anna,70
Janetta,70
Niina-Maria,70
Pirta,70
Anna-Lotta,70
Mirkku,70
Anne-Marita,69
Asha,69
Lotta-Maria,69
Salla-Maarit,69
Hodan,69
Nanette,69
Terttu-Liisa,69
Suvituuli,69
Fatma,69
Ronya,69
Eelin,68
Anu-Riikka,68
Chloe,68
Jonna-Maria,68
Sole,68
Sanna-Riikka,68
Thuy,68
Nea-Maria,68
Hani,68
Liisa-Maija,68
Etta,68
Katherine,67
Thanh,67
Maryan,67
Line,67
Manna,67
Lise,67
Kirsi-Mari,67
Paola,67
Meija,67
Anni-Kaisa,67
Ulriikka,66
Li,66
Enya,66
Cajsa,66
Beeda,66
Juliette,65
Bernice,65
Miida,65
Marje,65
Clary,65
Eriika,65
Venni,65
Iina-Maria,64
Tianna,64
Rigmor,64
Eela,64
Nadine,64
Zoe,64
Riina-Maria,64
Grace,64
Nimo,64
Mariina,64
Amélie,64
Huda,64
Alyssa,64
Eeva-Mari,64
Mona-Lisa,64
Aicha,63
Hele,63
Reine,63
Minda,63
Unni,63
Anna-Greta,63
Hagar,63
Ros-Mari,63
Anna-Riina,63
Greetta,63
Zaida,63
Mitra,63
Tii,63
Merika,62
Noora-Maria,62
Mianna,62
Nemi,62
Katinka,62
Halima,62
Liselott,62
Elli-Maija,62
Liida,62
Kristin,62
Seija-Riitta,61
Wera,61
Marjo-Riikka,61
Taiga,61
Tiila,61
Marjo-Liisa,61
Leena-Marja,61
Yasemin,61
Agda,61
Nelle,61
Pepita,61
Oivi,61
Mella,61
Renata,60
Viva,60
Minttu-Maaria,60
Anki,60
Hamdi,60
Hinni,60
Kiana,60
Suzan,60
Lucy,60
Hildur,60
Emmi-Sofia,60
Minttu-Maria,60
Neve,59
Tarja-Riitta,59
Suvi-Maaria,59
Milla-Mari,59
Elif,59
Evy,59
Kristine,59
Gia,59
Lana,59
Riitu,58
Ullamaija,58
Annmari,58
Eevastiina,58
Kaari,58
Miia-Mari,58
Sanne,58
Sorja,58
Eevaliisa,58
Mary-Ann,58
Venja,58
Görel,58
Aino-Elina,57
Irma-Liisa,57
Anni-Elina,57
Lisette,57
Suvi-Päivi,57
Tuuli-Maria,57
Veera-Maria,57
Abigail,57
Edna,57
Jenna-Mari,57
Isra,57
Noor,57
Anastassia,57
Kastehelmi,57
Jamina,57
Estelle,57
Corinne,57
Veea,57
Aino-Sofia,57
Silla,57
Hanna-Maarit,57
Lova,57
Kikka,56
Emili,56
Marwa,56
Inka-Maria,56
Helkky,56
Bettiina,56
Ella-Mari,56
Lene,56
Leonora,56
Satu-Maaria,56
Mindi,55
Erja-Liisa,55
Hilde,55
Anu-Maarit,55
Miili,55
Riikka-Leena,55
Najma,55
Kirsti-Liisa,55
Albina,55
Vienna,55
Sol-Britt,55
Sini-Maaria,55
Jenika,55
Eriikka,55
Kitta,55
Leena-Maria,55
Serafina,55
Anne-May,55
Siiri-Sofia,55
Pia-Liisa,55
Suzanne,55
Eva-Lisa,55
Hanna-Maaria,54
Laura-Kaisa,54
Toive,54
Minna-Maija,54
Janine,54
Una,54
Maijastiina,54
Aana,54
Pirja,54
Kaisu-Leena,54
Sarina,54
Helin,54
Jamila,54
Tarja-Tuulikki,54
Lioubov,54
Misa,54
Katri-Maria,54
Tiiti,54
Cara,54
Katja-Maria,54
Kaiju,54
Penni,54
Satu-Sinikka,54
Eerin,54
Pauline,54
Vanja,54
Tuula-Riitta,53
Kirsten,53
Anna-Helena,53
Viliina,53
Donna,53
Uma,53
Merit,53
Ingalill,53
Leija,53
Kersti,53
Gea,53
Aino-Liisa,53
Ella-Noora,53
Esra,53
Cornelia,53
Elly,53
Chiara,53
