Etunimi,Lukumäärä
Benjami,157
Jan-Mikael,157
Uolevi,156
Tristan,156
Leonardo,156
Jani-Pekka,155
Kauri,154
Remu,153
Rickard,153
Henrikki,153
Cristian,153
Zacharias,153
Juho-Matti,152
Esa-Matti,151
Said,151
Valeri,149
Kullervo,149
Abdi,149
Bertil,148
Sakke,148
Josef,148
Kusti,148
Risto-Matti,147
Thor,147
Sulevi,147
Per-Olof,147
Ragnar,146
Miiro,146
Ismail,146
Alexi,146
Uula,145
Niko-Petteri,145
Kaj-Erik,144
Alfons,144
Saul,144
Elo,141
Hiski,141
Alvi,139
Alexey,139
Dmitry,139
Clas,139
Werner,139
Aati,139
Kustaa,138
Akusti,137
Mitro,137
Matteus,136
Janne-Pekka,136
Torolf,136
Jero,136
Sven-Erik,135
Joseph,135
Titus,134
Lenny,132
Greger,132
Misa,132
Matti-Pekka,132
Jirka,131
Miklas,131
Curt,130
Juha-Petri,130
Anttu,129
Artem,128
Alexei,128
Amin,128
Eikka,127
Anas,127
Jyry,127
Rabbe,126
Kaspian,126
Khalid,126
Niilas,126
Vikke,126
Juhamatti,125
Hasan,125
Sammy,125
Juha-Petteri,124
Riku-Pekka,124
Juan,124
Claes,124
Ville-Markus,124
Ryan,123
Eevertti,122
Jeremy,122
Luke,122
Mikko-Pekka,122
Vinski,122
Liinus,122
Eeka,122
Miku,121
Pär,121
Jiro,121
Nathan,120
Roberto,120
Daniil,119
Morris,118
George,118
Valdemar,118
Werneri,118
Alpi,118
Jaajo,118
Nils-Erik,118
Alexis,118
Verne,118
Micael,118
Ahto,117
Colin,117
Abdul,117
Vadim,116
Mahamed,116
Edgar,116
Jaan,116
Valle,116
Tami,115
Fabian,115
Runar,115
Raoul,115
Harto,115
Milan,114
Auno,114
Juska,113
Tyko,113
Eduard,113
Silvo,112
Roi,112
Asla,112
Jussi-Petteri,111
Minh,111
Eerikki,111
Ture,111
Anatoli,111
Uljas,111
Måns,111
Patric,111
Bo-Erik,111
Alan,110
Jeri,110
Rufus,109
Sean,109
Mauritz,109
Hampus,108
Ludvig,108
Aksu,108
Myrsky,108
Thanh,108
Leino,108
Abdullah,108
Arimo,107
Timothy,107
Theodor,107
Andre,107
Taavetti,107
Valtti,107
Wiljam,106
Muhammed,106
Charlie,106
Weeti,106
Luis,106
Karlo,105
Vidar,105
Jakke,103
Kalle-Pekka,103
Olav,102
Milko,102
Riki,101
Riku-Petteri,101
Rolle,101
Elvis,101
Vladislav,101
Otava,100
Jerker,100
Carl-Erik,100
Keimo,100
Jan-Olof,100
Jasperi,99
Vili-Valtteri,99
Zakaria,99
Pehr,98
Valtter,98
Toomas,97
Eki,97
Jan-Henrik,97
Jaako,97
Carlo,96
Jeremi,96
Deniz,96
Ari-Jukka,96
Asseri,96
Dylan,95
Osman,95
Aale,95
Emilio,95
Kenny,95
Semi,94
Eemu,94
Eero-Pekka,94
Claus,93
Mario,93
Tuisku,93
Elian,93
Sakarias,93
Nestor,93
Rurik,93
Jouka,92
Joni-Petteri,92
Miguel,92
Evgeny,92
Adnan,91
Pedro,91
Aleks,91
Finn,91
Uno,91
Aki-Petteri,91
Jussa,90
Pepe,90
Jani-Matti,90
Urmas,90
Chris,90
Kosmo,90
Ano,90
Stanislav,89
Mikki,89
Sameli,89
Emir,89
Joni-Pekka,88
Kristofer,88
Emre,88
Remi,88
Vitali,87
Emppu,87
Steven,87
Ray,87
Niku,86
Ronald,86
Ethan,86
Antti-Juhani,86
Hans-Erik,86
Joska,85
Wili,85
Vieno,84
Leonid,84
Fjalar,84
Md.,84
Jerri,84
Dag,84
Taimo,84
Yasin,84
Jan-Kristian,83
Herbert,83
Selim,82
Marek,82
Alarik,82
Veetu,81
Mika-Petteri,81
Marlo,81
Carl-Gustav,80
Ricardo,80
Joacim,80
Brian,80
Veli-Jussi,80
Jooel,80
Michel,80
Jan-Eric,80
Matteo,80
Dante,80
Nick,79
Totte,79
Matthias,79
Evan,79
Bilal,79
Jamal,78
Ilyas,78
Nicky,78
José,78
Sven-Olof,78
Miikael,78
Alessandro,77
Antti-Ville,77
Ralph,77
Jyri-Pekka,77
Eliot,77
Mika-Petri,77
Stephen,76
Otto-Ville,76
Timur,76
Ilppo,76
Ante,76
Lemmy,76
Tito,75
Renny,75
Timmy,75
Tahvo,75
